제품명,브랜드,카테고리,성분명
퓨어 베이비 마일드 샴푸&워시,SNP(에스엔피),클렌저/워시,"정제수;다이소듐코코암포다이아세테이트;다이소듐라우레스설포석시네이트;코카마이드디이에이;글리세린;라벤더수;베르가모트오일;스타아니스추출물;아르간커넬오일;호보바씨오일;알로에베라잎즙;하이드롤라이즈드콜라겐;알란토인;베타-글루칸;감초추출물;로즈마리추출물;녹차추출물;1,2-헥산다이올;카프릴릴글라이콜;부틸렌글라이콜;벤질알코올;데하이드로아세틱애씨드"
퓨어 베이비 마일드 크림,SNP(에스엔피),크림/젤,"정제수;글리세린;식물성스쿠알란;세테아릴알코올;오일팜오일;오일팜커넬오일;올리브오일;베르가모트오일;스타아니스추출물;아르간커넬오일;호호바씨오일;알로에베라잎즙;하이드롤라이즈드콜라겐;알란토인;베타-글루칸;스페인감초뿌리추출물;라벤더수;로즈마리추출물;녹차추출물;소듐스테아로일글루타메이트;세테아릴글루코사이드;1,2-헥산다이올;카프릴릴글라이콜;부틸렌글라이콜;벤질알코올;데하이드로아세틱애씨드"
베이비 로션,VT(브이티),로션,"만주자작나무수액;흰목이버섯추출물;판테놀;해바라기씨오일;글리세린;마카다미아넛오일;메틸글루세스-20;1,2-헥산다이올;글리세릴스테아레이트에스이;비즈왁스;세테아릴올리베이트;스쿠알란;에리스리톨;올리브오일;호호바씨오일;솔비탄올리베이트;세라마이드엔피;세테아릴알코올;솔비탄스테아레이트;수크로오스스테아레이트;메틸프로판다이올;알지닌;오렌지오일;카보머;에틸헥실글리세린;정제수;망고씨버터;잔탄검;다이소듐이디티에이;알란토인;부틸렌글라이콜;수크로오스;서양민들레잎추출물;녹차추출물;스페인감초뿌리추출물;귀리커넬추출물;락토바실러스/콩추출물발효여과물;리놀레닉애씨드;브로콜리추출물;로우스위트블루베리추출물;시금치추출물;오렌지추출물;검정콩추출물;토마토추출물;호두추출물;호박추출물;올리브잎추출물;미네랄솔트;다마스크장미꽃추출물;바위돌꽃뿔추출물;우스니아추출물;초피나무열매추출물;할미꽃추출물;님잎추출물;청호추출물;라벤더꽃추출물;로즈마리잎추출물;병풀추출물;황금추출물"
베이비 바스&샴푸,VT(브이티),클렌저/워시,"만주자작나무수액;흰목이버섯추출물;정제수;글리세린;소듐메틸코코일타우레이트;에리스리톨;소듐코코일이세티오네이트;올리브오일글리세레스-8에스터;다이소듐코코암포다이아세테이트;글리세릴올리에이트;코코-글루코사이드;소듐클로라이드;1,2-헥산다이올;하이드록시아세토페논;메틸프로판다이올;오렌지오일;시트릭애씨드;에틸헥실글리세린;부틸렌글라이콜;헥실렌글라이콜;수크로오스;서양민들레잎추출물;녹차추출물;감초추출물;귀리커넬추출물;락토바실러스/콩추출물발효여과물;리놀레닉애씨드;브로콜리추출물;로우스위트블루베리추출물;시금치추출물;오렌지추출물;검정콜추출물;토마토추출물;호두추출물;호박추출물;올리브잎추출물;미넬랄솔트;다마스크장미꽃추출물;바위돌꽃뿌리추출물;우스니아추출물;초피나무열매추출물;할미꽃추출물;님잎추출물;청호추출물;라벤더꽃추출물;로즈마리잎추출물;병풀추출물;황금추출물"
베이비 선크림,VT(브이티),선케어,"정제수;에칠헥실메톡시신나메이트;프로판다이올;사이클로펜타실록세인;사이클로메티콘;이소아밀p-메톡시신나메이트;티타늄디옥사이드;부틸렌글라이콜;세틸알코올;포타슘세틸포스페이트;하이드로제네이티드폴리아이소부텐;글리세릴스테아레이트;비스-에칠헥실옥시페놀메톡시페닐트리아진;피이지-10다이메티콘;다이메티콘;하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머;피이지-100스테아레이트;에틸헥산다이올;스쿠알란;판테놀;솔비탄아이소스테아레이트;다이메티콘/비닐다이메티콘크로스폴리머;스테아릭애씨드;알루미늄하이드록사이드;실리카;글리세릴카프릴레이트;토코페릴아세테이트;오렌지오일;흰목이버섯추출물;폴리솔베이트60;만주자작나무수액;폴리실리콘-11;잔탄검;글리세린;다이포타슘글리시리제이트;1,2-헥산다이올;수크로오스;서양민들레잎추출물;감초추출물;녹차추출물;호박추출물;호두추출물;토마토추출물;검정콩추출물;오렌지추출물;시금치추출물;로우스위트블루베리추출물;브로콜리추출물;리놀레닉애씨드;락토바실러스/콩추출물발효여과물;귀리커넬추출물;올리브잎추출물;청호추출물;님잎추출물;미네랄솔트;황금추출물;병풀추출물;로즈마리잎추출물;라벤더꽃추출물;바위돌꽃뿌리추출물;다마스크장미꽃추출물;할미꽃추출물;초피나무열매추출물;우스니아추출물"
베이비 수딩젤,VT(브이티),크림/젤,"만주자작나무수액;흰목이버섯추출물;글리세린;판테놀;메틸프로판다이올;1,2-헥산다이올;올리브오일글리세레스-8에스터;에리스리톨;알지닌;카보머;하이드로제네이티드레시틴;에틸헥실글리세린;정제수;세라마이드엔피;소듐카보머;오렌지오일;부틸렌글라이콜;다이포타슘글리시리제이트;마카다미아넛오일;아보카도오일;올리브오일;수크로오스;서양민들레잎추출물;녹차추출물;스페인감초뿌리추출물;귀리커넬추출물;락토바실러스/콩추출물발효여과물;리놀레닉애씨드;브로콜리추출물;로우스위트블루베리추출물;시금치추출물;오렌지추출물;검정콩추출물;토마토추출물;호두추출물;호박추출물;올리브잎추출물;미네랄솔트;다마스크장미꽃추출물;바위돌꽃뿌리추출물;우스니아추출물;초피나무열매추출물;할미꽃추출물;님잎추출물;청호추출물;라벤더꽃추출물;로즈마리잎추출물;병풀추출물;황금추출물"
베이비 크림,VT(브이티),크림/젤,"만주자작나무수액;흰목이버섯추출물;판테놀;카프릴릭/카프릭트라이글리세라이드;해바라기씨오일;마카다미아넛오일;메틸프로판다이올;글리세린;1,2-헥산다이올;수크로오스스테아레이트;세테아릴올리베이트;올리브오일;스쿠알란;시어버터;비즈왁스;망고씨버터;솔비탄올리베이트;정제수;에리스리톨;솔비탄스테아레이트;세테아릴알코올;세라마이드엔피;알지닌;소듐폴리아크릴로일다이메틸타우레이트;카보머;하이드로제네이티드폴리데센;에틸헥실글리세린;아크릴레이트/C10-30알킬아크릴레이트크로스폴리머;오렌지오일;트리데세스-10;부틸렌글라이콜;다이포타슘글리시리제이트;수크로오스스테아레이트;녹차추출물;서양민들레잎추출물;스페인감초뿌리추출물;호박추출물;호두추출물;토마토추출물;검정콩추출물;오렌지추출물;시금치추출물;로우스위트블루베리추출물;브로콜리추출물;리놀레닉애씨드;락토바실러스/콩추출물발효여과물;귀리커넬추출물;올리브잎추출물;청호추출물;님잎추출물;미네랄솔트;병풀추출물;로즈마리잎추출물;라벤더꽃추출물;바위돌꽃뿌리추출물;다마스크장미꽃추출물;할미꽃추출물;우스니아추출물"
베이비 페이스 앤 바디 로션,ddung(뚱),로션,정제수;부틸렌글라이콜;글리세린;부틸렌글라이콜다이카프릴레이트/다이카프레이트;하이드로제네이티드폴리데센;클리세릴스테아레이트;피이지-100스테아레이트;세테아릴올리베이트;솔비탄올리베이트;세테아릴알코올;소듐폴리아크릴레이트;C13-14아이소파라핀;라우레스-7;사이클로메티콘;쌀겨추출물;쌀추출물;검정콩추출물;옥수수배아추출물;밀가루추출물;시어버터;소듐하이알루로네이트;카프릴릭/카프릭트라이글리세라이드;향료;페녹시에탄올;토코페릴아세테이트;다이소듐이디티에이
케어 로션,가이아기(GAIAGI),로션,정제수;선인장추출물;글리세린;마카다미아넛오일;해바라기씨오일;세테아릴알코올;달맞이꽃오일;글리세릴스테아레이트에스이;솔비탄스테아레이트;밤껍질추출물;베타인;비파나무잎추출물;삼백초추출물;오리나무추출물;세테아릴글루코사이드;우스니아추출물;초피나무열매추출물;할미꽃추출물;스테아릭애씨드;판테놀;연꽃씨추출물;당근추출물;병풀추출물;신선초추출물 ;비즈왁스;사철쑥잎추출물;캐모마일꽃오일;토코페롤;베르가모트오일
바스 앤 바디 워시,가이아내추럴베이비(GAIAnaturalbaby),클렌저/워시,정제수;데실글루코사이드;다이소듐코코암포이아세테이트;코카미도프로필베타인;구아검;식물성글리세린;락틱애씨드;마트리카리아추출물;아보카도오일;달맞이꽃오일;소듐하이드록시메틸글리시네이트;페녹시에탄올;라벤더오일;오렌지오일;마트리카리아오일;리모넨;리날룰
