제품명,"베이비 젠틀 포밍 클렌저 for 헤어,바디",,제품사진
브랜드,CPN(캘리포니아퓨어내추럴),,
카테고리,클렌저/워시,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
16,17,,
,,,
성분명(국문),영문명,,
알로에베라잎즙,,,
정제수,,,
글리세린,,,
코코-글루코사이드,,,
카프릴릴/카프릴글루코사이드,,,
캐모마일꽃/잎/줄기추출물,,,
포트마리골드꽃추출물,,,
오이열매추출물,,,
감초추출물,,,
캐모마일꽃추출물,,,
라우릴글루코사이드,,,
데실글루코사이드,,,
시트릭애씨드,,,
씨솔트,,,
구아검,,,
